순번,용어,용어설명
4123,원형편파(圓形偏波)," 전자파 전파(傳播)에서, 전기장 벡터의 끝이 나선형으로 되는 편파. 주 : 1) 전기장 벡터의 진폭은 일정하다. 2) 전기장 벡터의 끝을 전파방향에 수직한 고정 교차면에 투영하게 되면 원형이 된다. 3) 원형편파는 위상이 서로 90도 차이가 나고 서로 직각을 이루는 두 개의 선형편파로 분리할 수 있다. 4) 원형편파는 나선의 방향이 오른나사 방향이나 왼나사 방향 각각에 따라 우수(右手)편파 또는 좌수(左手)편파로 부를 수 있다. <br> In electromagnetic wave propagation, polarization such that the tip of the electric field vector describes a helix. Note 1: The magnitude of the electric field vector is constant. Note 2: The projection of the tip of the electric field vector upon any fixed plane intersecting, and normal to, the direction of propagation, describes a circle. Note 3: A circularly polarized wave may be resolved into two linearly polarized waves in phase quadrature with their planes of polarization at right angles to each other. Note 4: Circular polarization may be referred to as &quot;right-hand&quot; or &quot;left-hand,&quot; depending on whether the helix describes the thread of a right-hand or left-hand screw, respectively. <br><a href=""javascript:window.open('http://www.its.bldrdoc.gov/fs-1037/','LINK','scrollbars=yes,resizables=yes,menubar=yes,width=600,height=480,top=100,left=200');"">http://www.its.bldrdoc.gov/fs-1037/</a> "
4124,월 정액 요금,매달 기본적으로 부과되는 요금이며 기본료가 월정액 요금이 되며 빌링 시스템을 구비하지 못한 사업체의 경우 사용량근거의 요금 계산을 하지 못하는 경우 고객관리만으로 정액 요금체계를 가져가게 됨. 정액요금의 경우 처음 가입한 한달 요금 또는 해지하는 달의 1개읠 요금은 일수비례하여 요금을 계산하게 되는데 통상 가입일은 사용일수 포함하고 해지일은 사용일수에 포함하지 않는다.
4125,분기케이블,간선으로부터 여러 개의 분기선을 인출하기 위하여 사용되는 케이블 전선.
4126,분기회로,간선에서 분기하여 분기과전류차단기를 거쳐서 부하에 이르는 사이의 배선을 말한다.
4127,분기회로내장형에프씨씨케이블,"1.(National Electrical Code에서) 에프씨씨형 케이블. 에프씨씨형 케이블은, 서로 떨어져 있고, 절연 부품 안에 봉입된 세 개 이상의 평평한 구리 도체로 구성된다. 결선 시스템은 carpet squares밑에 설치하도록 설계되어 있다. 2.에프씨씨 시스템. 분기 회로를 위한 완벽한 결선 시스템. 결선 시스템은 carpet square밑에 설치하도록 설계되어 있다. 에프씨씨 시스 템은 에프씨씨형 케이블과, 연관된 차폐, 연결"
4128,분기회로선택전류,"정격을 결정할 때 사용하는 정격-부하 전류대신에 사용되는 암페어로 표시된 값. 여기서의 정격을 결정하는 대상은, 전동기 분기회로 도체, 단속 수 단(disconnecting means), 제어기와 분기회로 단락회로 등이며, 과부하 보호장치가 정격-부하 전류의 정해진 백분율보다 큰 전류를 유지하고 있는 곳에서는 접지사고 보호 장치도 포함한다. 분기회로선택전류는 항상 지정된 정격-부하 전류보다 크다."
4129,분기회로수정전류,분기회로선택전류 참조.
4130,분로개방,"전력개폐기에서 전압원에 의해 전류가 시동되는 배출. 전압은 주회로나, 혹은 개별적은 전원 둘 중 어디에서도 인가될 수 있다. 전원전아베 의해 생 기는 개방. 이 전압은 주회로 혹은 도립소스에서 유도된다."
4131,분로리액터,전로에 병렬로 접속하여 경부하시에 부하의 진상무효전력을 보상하고 계통전압상승을 억제하기 위한 리액터.
4132,분로리액터,변전소에 설치되어 진상분 무효전력을 공급하는 것으로 송전계통에 연계운전하는 대용량의 리액터
4133,분로리액터의 임피던스,리액턴스와 저항의 위상합을 상당의 옴 값으로 나타낸 것. 정격 킬로 볼트암페어(KVA)와 정격전압으로 구할 수도 있다.
4134,분로배출,"전력개폐기에서 전압원에 의해 전류가 시동되는 배출. 전압은 주회로나, 혹은 개별적은 전원 둘 중 어디에서도 인가될 수 있다."
4135,분로부하걸기,부하의 한 종류. 리액턴스를 전송 회로의 도선간에 직렬로 넣은 부하이다.
4136,분리경계,"디젤 발전장치와 경계를 긋는 보조 시스템, 보기시스템 또는 기기. 이들 기기 또는 보조 시스템 또는 보기 시스템의 고장은 디젤 발전장치의 고장이 라고는 생각하지 않는다."
4137,분리막,"이차전지에서 양극과 음극이 물리적으로 접촉하지 못하게 하며(단락방지), 두 전극 사이에 위치하기 때문에 전극간 이온의 이동이 원할하게 이루어 질 수 있도록 기공이 발달된 구조를 가지고 있음"
4138,분리스위치,회전함으로써 한편의 회로로 차단되고 다른 방향으로 회로가 구성되는 개폐기.
4139,분리시간,"개조작이 행해지는 최소동작전류가 정지한 후, 접점이 최대이격거리를 취할 때까지의 시간."
4140,분배(分配), 특정한 주파수대를 특정한 조건하에서 1개 또는 그 이상의 지상 또는 우주무선통신업무 또는 전파천문에 의한 사용목적으로 주파수분배표에 등재하는 것. 이 용어는 등재된 관계 주파수대에 대하여서도 적용된다.<br> ☞ frequency allocation : 주파수 분배<br> Entry in the Table of Frequency Allocations of a given frequency band for the purpose of its use by one or more terrestrial or space radiocommunication services or the radio astronomy service under specified conditions this term shall also ve applied to the frequency band concerned. RRS1.16
4141,분배망,"전기에너지, 천연가스, 지역난방, 압축공기 등의 분배에 사용되는 망. 전기분야에서는 배전망이라고 한다."
4142,분산성 매질(分散性 媒質), 위상 속도가 주파수에 따라 다른 매질. <br> A medium where the phase velocity depends on frequency. IEEE Std 211-1990   
4143,분산전원,수요지 근방에 설치되는 비교적 작은 규모의 전원(3kW~50MW)
4144,분산전원 원격단말장치,분산전원 계통유입을 감시하는 장치
4145,분산전원감시시스템,전력망에 존재하는 다양한 분산 발전 자원의 상태를 감시하는 시스템으로 DMCS와 DMF에 발전 자원의 상태정보를 제공함
4146,분산제어,어떤 개소에 국소적인 제어소를 설치하고 시스템 전체를 제어하는 방법.
4147,분산형전원시스템,"원자력이나 대용량 화력 등과 같은 집중적이고 대용량이 아닌 소용량의 전력저장시스템이나 발전시스템을 일컫는 말로서, 수력, 태양광, 바이오, 풍력 등의 신·재생에너지 전원, 소용량의 열병합발전시스템, 전기 등을 이용한 전력 저장시스템을 예로 들 수 있음. 기존의 전력회사의 대규모 집중형 전원과는 달리 소규모로서 소비지 근방에 분산배치가 가능"
4148,수력터빈,물의 에너지를 기계적 에너지로 바꾸는 원동기.
4149,수력평균가능발전력,일정기간의 수력가능 발전전력량으로부터 산출되는 평균전력.
4150,수로식발전,"수력발전 방식 중 하나. 하천상류의 집수구로부터 끌여들인 물을 완만한 기울기를 주어 수로를 통해 하류에 도입, 발전점에서 하천 기울기를 이용하므 로써 낙차를 얻도록 한 발전방식."
4151,수리보험,"발전설비를 수리하는 동안 발생 가능한 위험에 대하여 보호하는 보험으로서, 수리가 장기간을 요하는 경우에 가입, 가동과 동시에 만료되는 기간보험으 로 보험가액은 수리 완공시의 발전설비견적이 가격을 하회하지 않는 선에서 결정된다."
4152,수문,물이 흐르는 것을 저지 또는 조정하기 위한 문을 갖춘 구조물.
4153,수반가스,"석유와 함께 부존되어 있는 천연가스. 고급 탄화수소가 많은 비율로 포함되어 있는 경우가 있으며, 지하 저유층 속에서의 온도와 압력하에서 석유에 용해(Solution Gas)되어 있거나, 혹은 저유층 속에서 석유층 상부에 가스 상태로 Cap을 형성하기도 한다(Gas - Cap Gas). 미국과 캐나다에서는 """"""""수반가스""""""""를 저유층 내에서 원유 에 용해된 가스로 지칭하지 않고 직접 채취한 천연가스를 지칭한다."
4154,수변전실,"자가용 전기 시설에서 수전 부분에 설치한 변전실, 변압기, 차단기, 배전반, 기타 기기, 용구 등을 수용하고 있다."
4155,수소화분해공정,"나프타에서 잔사유에 이르는 각종 탄화수소에 촉매를 첨가하여 고온, 고압의 수소기류 속에서 분해하여 수소화하고, 보다 경질인 탄화수소로 전화시키 는 것. LPG, 휘발유, 등유, 제트연료, 경유 등의 제품을 얻을 수 있고 품질이 좋아 후처리가 불필요하다."
4156,수송설비,수송배분된 전력을 일반 가정이나 공장 등에서 소비하기 위한 다양한 설비로 수용가의 자산으로 되어 있는 부하설비.
4157,수신계전기,"보호 목적을 달성하기 위하여 보호배전반 또는 어떤 회로의 감시 및 제어를 위한 특정신호를 주고 받는 경우에 신호를 받는쪽 계전기. 예로서, 반송보호배전반의 반송신호 수신계전기가 속한다. 수신계전기는 특정신호를 받아 제어기능을 수행하므로 동작 신뢰도 관계상 대부분 고속도 동 작 및 고속도 복귀특성이 요구되며 요구특성을 만족시키기 위해서 전자형 계전기에서는 유극형을 많이 사용한다."
4158,수요,"전력 사용에서 특정한 시간 간격동안 적분한 부하. 설비나 시스템에서 특정한 시간 간격동안 평균한 수신단의 부하. 수요는 킬로와트[kW], 킬로볼트암페어[kVA], 킬로바[kVAr], 암페어[A], 혹은 다른 적당한 단위로 표현된다. 보통 장치 또는 계통의 단자에서의 어떤 정해진 기간 내의 평균부하로써 기간의 단위로서는 1시간, 30분, 15분 등이 쓰인다."
4159,수요 반응,"전력공급 상황, 피크 부하율 및 전력생산/공급가격에 따라 소비자가 반응 할 수 있는 메커니즘임. 전력시장의 개념을 소비자 측면으로 확대하여 연료비, 전력수급 상황에 따른 도매시장 가격과 연결된 가격변동 상황을 최종 소비자에게 실시간으로 전달하고, 소비자는 변동하는 가격신호에 따라 경제적 이득을 얻기 위하여 전력소비를 줄이거나 전력사용 시간대를 옮기도록 유도하는 것"
4160,수요관리,"정의 : 전력회사가 수요측의 전기사용형태를 합리적으로 통제, 조정하는 계획이나 활동 목적 : 부하관리와 합리적 에너지소비절약을 통한 설비의 효율적 운용으로 국민부담경감 및 국가산업경쟁력 제고 수요관리 방법 :부하관리 : 계절별/시간대별 차등요금제도 시행, 수요측 부하 억제 또는 차단 *전략적소비절약 : 전기기기의 효율개선 인센티브제도 등"
4161,수요관리,"전력회사가 수요 측의 전기사용형태를 합리적으로 통제, 조정하는 계획이나 활동을 의미. 수요관리 방법으로는 부하관리(계절별·시간대별 차등요금제도 시행, 수요 측 부하 억제 또는 차단), 전략적 소비절약(전기기기의 효율개선 인센티브제도 등) 등이 있음."
4162,수요단전력,수요전력에 변전소 소내소비전력을 더한 것. 소비자에게 전력을 공급하는 수급지점에서의 공급전력이다.
4163,수요예측,"전력시장가격을 예측하기 위해, 전력시장 전체의 3일의 실적수요(수요관리후)를 이용하여 예측하는 수요"
4164,수요자원,"DR 또는 수요관리에 참여하거나, 참여할 수 있는 전력기기 또는 전력소비자."
4165,수요전력,전력회사로부터 공급을 받아 소비자가 소비하는 전력의 총량.
4166,수요전력계,"수요전력과 최대수요전력을 표시나 기록 또는 양쪽을 행하는 장치. 수요전력은 전기적 및 시간적 요소가 포함되기 때문에, 이들 요소에 기구가 감응해 야한다. 이들 기구는 분리, 결합이 가능하다."
4167,수요함수,"어떤 재화에 대한 수요와 그 재화의 수요에 영향을 주는 요인들과의 관계를 나타내는 함수. 일반적으로 어떤 재화의 수요에 영향을 주고 있는 요인들 은 무수히 존재하며, 그들 중에서 비교적 영향력이 강한 것은 보통 재화의 가격, 소득 수준, 인구의 크기, 타재화의 가격, 소비자의 선호도, 광 고 선전 등이다."
4168,수용가,과거의 전기소비자를 이르는 말. 소비자 참조.
4169,수용가요금,전기소비자 요금 참조.
4170,수용계량장치,적산형 최대 수용적산 전력계의 계량 장치. 최대 수용전력계의 계량 지시 장치와 kWh의 계량 장치가 한 몸으로 되어 있으며 또 누산형에서는 최 대 수용전력의 누산기구 및 그 계량 장치와 kWh계량 장치가 한 몸으로 되어 있다.
4171,양극특성,양극-음극 간의 전압-전류 특성.
4172,양방향 입찰시장,발전부문(공급)과 배전부문(수요) 양방향에서 입찰하는 방식 Pool에서의 경쟁촉진을 위해 전력 직거래(발전사업자→ 수요자)범위도 점 차 확대 발전 및 배전회사가 분할 또는 민영화 되는 시점에 도입 (2003년 이후)
4173,양방향 입찰시장,공급을 담당하는 발전부문과 수요측면의 배전부문 양방향에서 입찰하는 방식으로 Pool에서의 경쟁촉진을 위해 전력직거래 범위도 점차 확대되는 시장
4174,양방향성 임피던스,"인가전압의 극성에 관계없는 일반적인 임피던스. 즉, 전류의 방향이 달라져도 같은 임피던스 값을 갖는다. 대부분의 전기회로중 R, L, C 등만으 로 이루어지는 회로가 갖는 임피던스로, 행렬을 구성하면 대칭행렬로 표시되는 특징이 있다. 또한 입력단자에서 임피던스와 출력단자에서 본 임피던스 가 같은 보통 회로망이 나타내는 임피던스를 말하며 단방향성 임피던스의 반대말이다."
4175,양수발전,고지대에 저수지를 만들고 전력의 비수요기인 밤에 잉여전력을 이용하여 여기에 물을 모터펌프로 퍼올려 놓았다가 수요기에 저수지물을 낙하시켜 발전하는 방식을 말한다. 우리나라의 양수발전은 무주 등 네곳에 있음.
4176,양수발전소,전력계통의 기저부하시에 잉여전력을 이용하여 하부저수지의 물을 상부 저수지로 양수하였다가 첨두부하시에 발전하는 일종의 수력발전소.
4177,양수발전소의 양수효율,양수로 얻은 발전 전력량과 양수 전력량과의 비율.
4178,양수용동력,양수식 발전소에서 물을 끌어 올리기 위해 소비하는 전력.
4179,양수전력량,발전하기 위하여 물을 상지로 퍼올리는데 전동펌프에서 소비되는 전력량. 여기에서 보조기기와 펌프손실 등도 포함된다.
4180,양수총효율,양수 발전소에서 발전한 전력량을 그것에 대응하는 양수에 소요되었던 전력량으로 나누어 백분율로 표시한 것.
4181,양판문,올거미 중심에 넓은 널을 댄 문
4182,어닐링,일정온도에서 어떤 시간동안 가열한 후 비교적 느린 속도로 노내에서 냉각시키는 열처리 방법. [MGE 1200]
4183,어드레스 설정,"어드레스는 통신을 하기 위해서 사용되며, DNP3.0 프로토콜을 지원하기 위해서 16비트 구조로 이루어져 있으며, 설정 가능한 주소 값으로는 [ 0 ~ 65534 ]번지까지입니다. [ 65535 ]번지는 동보(Broadcast)명령으로 사용됨으로 절대 설정해서는 안됩니다. 딥-스위 치(DIP Switch)조정은 스위치의 조정부를 위로 올리면 16비트의 해당 비트 값이 1로 됩니다. 예를 들어 딥-스위치를 [ 00010011 11001111 ]"
4184,어스앵커 공법,버팀대 대신 흙막이 벽을 earth drill로 천공한 후 인장재를 넣고 모르타르를 주입하여 경화시킨후 인장력에 의해 토압을 지지하는 공법
4185,어플리케이션 공통 데이터베이스 모델,어플리케이션 프로그램들이 공통으로 사용하는 데이터베이스 모델
4186,억제,계전기의 동작방향과 반대 방향의 힘 또는 전기량을 작용시키는 것.
4187,억제,계전기이 동작방향과 반대방향의 힘 또는 전기량을 작용시키는 것을 말한다.
4188,억제," 여파, 본딩, 차폐, 흡수 및 접지 또는 이 방법들의 조합에 의해 불요 방출을 줄이거나 제거하는 것.<br> The reduction or elimination of undesired emissions by such techniques as filtering, bonding, shielding, absorption, and grounding, or any combination thereof. IEEE Std. 211-1990"
4189,억제계전기,한 입력에 대한 반응 동작이 다음 두번째 입력에 의해 제한되거나 제어되도록 구성된 계전기.
4190,억제코일,억제력을 발생시키는 코일.
4191,언더리치,"거리계전기의 동작범위가 정정범위에 미치지 못하는 현상. 예로서 다단자 전원의 송전선에서 분류효과에 의해 거리계전기가 보는 겉보기 임피던스가 실 제 사고지점까지의 임피던스 보다 크게 나타나서 고장점이 거리적으로는 동작범위임에도 불구하고, 동작하지 않을 수도 있다."
4192,언더리치보호,선로구간의 양단에 설치된 고장검출용 계전기의 정정을 자기보호구간의 85%정도로 정정하고(언더리치정정) 양단 계전기는 외부동작에 절대로 동작하지 않으며 보호구간의 일부를 제외한 내부고장시에는 자단을 차단함과 동시에 타단에 차단지령신호를 보내 타단에서도 동시에 차단하도록한 방식.
4193,업종별요금제,수용가의 사업종류 또는 용도에 따라 다른 요율을 적용하는것을 정한 요금 규정.
4194,에너지강도,단위 산출물 당 에너지 사용량.
4195,에너지경제,"에너지문제와 관련된 경제의 한 부분. 에너지 수요량과 공급량을 파악하여 국내, 국제적 상황하에서 에너지 요구량을 충족시키기 위한 수단으로써 행해 지는 경제적 활동."
4196,에너지계통,"1. 에너지를 포함하고 있는 물질이나 기구. 2. 경제적 요소들의 에너지 요구가 충족될 수 있도록 해주는 기술적, 경제적 구조."
4197,월간저수용량,월간 주기로 물을 채웠다 비웠다 할 수 있는 저수지의 저수용량.
4198,위상각정수,전파정수에서 전압과 전류의 위상만을 지배하는 정수.
4199,위상검상,"동일 전기소등에서 사용중인 변압기, 송전선등에 같은 전력설비를 병렬로 추가하여 사용하는 것."
4200,위상계전기,(전력 개폐기에서)계전기의 한 종류. 주로 전력 시스템의 위상 상태에 반응하도록 설계되고 적용된다.
4201,위상관계,"GIS에서, 지도요소들 간의 공간적 관계를 유지하는데 사용되는 강력한 데이터구조. 실제, 각각의 점, 선, 면은 그들이 어디에 위치하고 무엇과 연결되어 있으며, 그 주위에 무엇이 있는지를 알고 있다. 벡터 시스템과 함께 사용된다."
4202,위상부족전압계전기,여러 상의 회로에서 위상의 평형상태가 불평형으로 되거나 전압이 미리 지정된 값 이하가 되었을 때 동작하는 계전기.
4203,위상비교계전방식,보호구간의 각 단자에 흐르는 전류의 위상을 비교하여 보호하는 계전방식.
4204,위상비교방식,표시계전기에 의한 선로보호 방식 중의 하나. 선로의 양단에서 감지되는 고장전류의 위상각을 비교하여 표시선을 통해 위상각정보를 교환함으로써 동일 한 성능을 얻을 수 있는 방법.
4205,위상비교보호,파이롯의 보호중 하나의 방식으로 각 단자 상호간 각 전류위상각의 상대관계를 비교하는 보호방식.
4206,위상시퀀스전압계전기,상전압(Phase Voltage) 또는 상전류(Phase Current)가 연속적으로 양의 최대값일때만 흐를 수 있게 하는 계전기.
4207,위상조정기,환상망 시스템에서 유효전력의 분포를 제어하기 위해 단자전압에서의 그것과 직각위상의 조정전압을 공급하여 자단전압 및 상수단전압과의 상차각을 변화시 킴으로써 송전가능한 유효전력량을 조정하는 장치.
4208,위상특성,계전기가 복수입력으로 동작하는 경우에 상호간의 위상각이 응동에 미치는 영향을 말하며 위상각이 전압과 전류입력 상호간만의 경우 위상특성을 특히 역 률특성이라 부를 때도 있다.
4209,위상특성,계전기의 입력 상호간의 위상각이 응동에 미치는 영향을 말한다. 단 위상각이 전압과 전류입력 상호간의 경우에는 위상특성을 특히 역율특성이라 부를 때도 있다.계전기 동작 용어
4210,위성망 시각동기위상측정장치,"PMU와 같은 기능을 수행하나 상위시스템으로 정보를 보낼때 유선통신망을 이용하지 않고 위성망을 이용하는 것이 다르다. 현재 제주도에 설치되어 있으며(12개소) 전압, 전류, 주파수, 위상 등의 계통 데이터를 실시간 측정(초당 1회 이상)하고, 지역사고 판단 및 사고데이터를 저장하며 위성망을 통해 상위시스템으로 정보를 보낸다"
4211,위약,"‘전기공급약관을 위반하여 사용 함’라는 사전적인 의미이며 - 우리회사 뿐만 아니라, 통신회사, 카드사 등 에서도 널리 쓰는 보편화 된 용어 임 - 천용, 개발, 도전보다는 현대적인 의미이며, 450시간 초과사용, 계약종별 위반, 사용장소 위반, 계기 무단조작 등 전기공급약관을 위배하여 사용한 경우에 쓰는 포괄적 개념 - 전기공급약관에도 나오는 우리회사의 공식용어이며 80년대경(추정)부터 현재까지 사용 중"
4212,위탁운전,전기설비를 다른 전기사업자 또는 소비자에게 위탁하여 운전시키는 것.
4213,위탁조작,전기설비를 다른 전기사업자 또는 소비자에게 위탁하여 조작시키는 것.
4214,위해(危害)," 1. 자연적 또는 인위적 동인(動因)이나 사건으로부터 유기체의 건강, 생존, 번식에 미치는 위협. <br> 2. 사람에게 해를 일으키거나 장비나 무기물에 손상을 일으킬 잠재력을 갖고 있는 고유 성질이나 조건. <br> 1. A threat to the health, survival, or reproduction of an organism from some natural or artificial agent or event. IEEE Std. 539-1990<br> 2. An intrinsic property or condition that has the potential to cause harm or damage. IEEE Std 100-1996"
4215,위험물,인화성 또는 발화성등의 물품
4216,위험성(危險性)," 1. 하나 이상의 위해(예를 들면 사고, 독극물)으로부터 손상을 체험하는 확률의 척도.<br> 1. A measure of the probability of experiencing harm from one or more hazards(e.g., accidents, toxic chemicals). IEEE Std 539-1990"
4217,유극계전기,"영구자석을 사용하여 미소 입력에도 고감도가 되게 만든 계전기. 영구자석을 이용한 직류형과 여자권선으로 자극을 만드는 교류형이 있으며, 기동력이 커서 동작속도가 빠르며, 소비전력이 적어서 고속도 계전기로 사용한다."
4218,유니트변압기,전력시스템이 유니트에 전력시스템전압까지 단일전력의 일부나 모든 부분을 변환하는 변압기에 공급하는 기계.
4219,유니트변전소변압기,"단일 또는 다수의 개폐기나 모터조절장치와 동일하게 설계되고 기계적,전기적으로 연결된 변압기장치."
4220,유니트부하경감,확정된 최대용량에서 이용가능한 최대용량을 뺀 부하의 차이.
4221,분산형전원연계관리시스템,다수의 분산형전원 연계선로의 전력품질 감시 및 제어를 위한 분산형전원 관리시스템
4222,분산혜택,정전이나 유지 보수로 인해 발생하는 전기서비스의 대규모 상실을 감소시킴으로써 얻어지는 혜택.
4223,분전반,분기과전류차단기 및 분기개폐기를 집합하여 설치한 것(주개폐기나 인입구 장치를 설치하는 경우도 포함한다)을 말한다.
4224,분전반-2,"모선이나 라이트, 온도, 전력회로 제어용 스위치를 갖는 하나나 여러 개의 판넬들을 하나의 일정한 틀에 모아놓은 집합체."
4225,분포망 형,"회로차단기를 통하여 강압기의 외부측과 연결된 버스선이 있는 강압변압기로 이루어진 단위변전소가 정전압, 위상각 또는 변압기 2차측의 위상상태에 의해 차단되거나 전력조류가 반대로 될때 작동하는 차단기등을 엮어 놓은 계전기를 설비한것."
4226,분포온도 측정 감시시스템,"분포온도 측정장치(광케이블)를 통해 케이블 도체온도를 포함한 온도를 측정, 계산하고, 동적 허용전류를 예측하는 시스템"
4227,분포접지,탑각에서 방사형으로 매설지선을 포설하여 접지하는 방식.
4228,분포정수회로,"전송선로에 고주파전류가 흐를때는 선로상의 전류와 전압의 분포가 균일하지 못하므로 이를 선로의 단위길이당의 저항, 인덕턴스, 정전용량, 누설컨덕턴 스를 회로정수로 하여 집중정수회로처럼 여겨 이들이 선로전체에 균일하게 분포한것으로 생각할 경우의 회로."
4229,분해정제시설,"Hydroskimming Refinery+F40에 분해시설을 추가한 형태의 정유시설. 분해시설은 주로 RFCC나 FCC를 말함. 분해시설을 통 해 부가가치가 낮은 연료유를 고부가가치의 경질제품으로 전환시킬 수 있어 수익성이 증대하며, 동시에 원유에 대한 의존도도 낮아져 안정적인 운전이 가능함."
4230,불규칙 매질(不規則 媒質)," 유전율의 연속적 및 불연속적인 공간적 변화를 통계적 척도의 항으로 가장 잘 설명할 수 있는 매질.<br> A medium in which the spatial variations of permittivity, discrete and/or continuous, are best described in terms of statistical measures. IEEE Std 211-1990"
4231,불균일 모드 지연,광섬유모드의 속도차이 때문에 전달 지연의 변화가 일어나는것.
4232,불량률,"물건의 전수에 대한 불량품 수의 비율, 백분율로 나타낸 불량률을 불량백분율이라고 한다. 로트나 공정과 같은 모집단에 대해 사용할 경우와 군(群) 이나 샘플에 대해서 사용할 경우가 있다. 불량손실금액을 생산매출액으로 나누어 산출한다. 불량손실금액은 원부자재, 부품의 도입, 외주 및 자작품 에 대한 자책의 불량으로 인한 손실금액을 말한다. 공장단위에서는 본부장 절감목표 불량률을 달성하는 범위 내에서 필요 세부단위별 목표를 할당할 수 있다. 생산매출"
4233,불량애자검출기,애자의 노화를 활선상태로 검출하는 기구.
4234,불평형 장력,지지물의 양측 경간의 가섭선사용 장력차에 의해서 일어나는 장력. 철탑설계상 한측에 전선의 단선을 상정해서 적용하고 있다. 1) 직선철탑과 각도철탑에서의 불평균장력은 상정하중은 가섭선이 절단되지 않는 것으로 가정하며 이상시 상정하중은 가섭선이 절단된 것으로 가정하여 이에 의한 불평균장력 및 염력을 고려하는 것으로 한다. 이때 전단조수는 4회선이하의 철탑에 대해서는 임의의 2조(다도체에서는 2상)으로 한다. 단다도체의 경우 1상의 절단근수는 2조
4235,불평형3상부하,3상회로에서의 각상의 부하가 균등하지 않을 때 또는 푸시풀 증폭기에서는 각 트랜지스터의 부하가 균등하지 않을 경우.
4236,불평형3상전류,불평형 3상회로에서 각상이 불평형하여 이로인해 발생하는 영상 또는 역상분의 전류.
4237,불평형3상회로,교류전력을 가진 변환장치 등에서 적어도 하나의 상전압(혹은 상전류) 또는 선간전압의 실효값이 다르거나 또는 임의의 상간위상차가 120도보다 크 게 다른 3상회로.
4238,불평형률,교류출력을 가진 변환장치 등에서 정상(正相)성분에 대한 역상성분의 비.
4239,불평형부하,다상회로에서 각 상의 부하가 같지 않을 경우. 푸시풀 증폭기 등에 있어서도 각 진공관의 부하가 같지 않은 경우를 말한다.
4240,불평형부하전압,쌍으로 있는 부하단자의 사이에서 측정된 전압이 같지 않은 경우를 말한다.
4241,불평형회로,송전선이나 통신선 등에서 대지에 대한 정전용량의 평형이 잡히지 않은 선로 또는 회로. 병행선로를 평형선로라고 말하는데 대해서 동축선로를 불평형선 로라고 하는 경우도 있다. 브리지회로로 측정을 할 때 인체 효과나 표유용량으로 평형이 잡히지 않는 경우를 말하기도 한다.
4242,불확정성(不確定性)," 1. 관측하거나 계산한 값이 참값에서 벗어난 추정치. 주: 보통 평균의 편차, 확률 오차, 표준 편차 등으로 표현된다. 2. 측정 방법의 부적합에 기인하는 랜덤 오차를 함께, 계통오차에서 주어진 허용값.<br> 1, The estimated amount by which the observed or calculated value of a quantity may depart from the true value. Note: The uncertainty is often expressed as the average deviation, the probable error, or the standard deviation. 2. The assigned allowance for the systematic error, together with the random error attributed to the imprecision of the measurement process. IEEE Std 100-1996<br>      "
4243,수용단가치,전기의 가치를 그에 대신하는 화력발전의 원가로 표시하는 예와 같이 전력 수용단에 있어서의 가치를 그에 대신하는 다른 전력의 생산비 및 분배비용으 로 나타낸것.
4244,수용률,전력계통의 최대 수요 전력과 계통에 접속된 전체 부하(설비용량)와의 백분율. 이 비를 공급 설비 용량에 대한 그 이용 효율로서 볼 때는 설비 이 용률(utilization factor)이라 한다.
4245,수위계,"수위를 측정하기 위한 장치. 원격조정용 자동장치, 원격수위 조절용 또는 수위기록용 등이 있다."
4246,수위예비저하,"저수지 또는 조정지에서 공수조절, 조정지의 효과적 이용을 위해 미리 수위를 낮추는 것."
4247,수위조정기,상수조의 수위를 일정하게 유지하도록 수로의 유입량에 따라서 수차의 유량을 조정하는 장치.
4248,수위조정기운전,수력 발전소에서 상수조수위를 거의 일정하게 유지하여 발전기 출력을 자동적으로 조정하는 운전.
4249,수은계전기,수은의 이동으로 접점이 개폐되는 계전기.->수은 접점 계전기
4250,수입차단기,"전로의 차단이 물을 매질로 하여 동작하는 차단기이다. 즉, 물을 소호매질로 하는 것을 말한다. 수차단기라고도 한다."
4251,수전,"사고, 작업 등으로 정전이 일어난 송전선, 변압기 등 사용하는 경우, 수전단이 되는 발변전소를 운전 전압으로 직접 가압하는 것."
4252,수전단,송전 선로의 부하측에 가까운 단자. 전기를 받는 쪽의 단자.
4253,수전단전력량,특정 시간대에 있어서 수전단의 평균전력량.
4254,수전반,특별고압 또는 고압수용가의 수전용배전반을 말한다.
4255,수전전력증분비용,수전전력의 단위량 증가에 대한 증가비용. 전력계통에서 전력손실을 고려한 발전출력의 단위단 증가량에 대한 증분비용을 말한다.
4256,수전회선자동절체,"수전회선이 사고등에 의해 정전되는 경우, 수전회선을 다른 회선에 자동으로 절체시키는 것."
4257,수정적과전류스위치,과전류 이완(트립에서)를 참조.
4258,수중입구,"수중에서견딜 수 있는 외장이나 외피를 가지고 있는 케이블의 연결을 위한, 밀봉된 인입단자."
4259,수중퓨즈,"(1)(지하철 oil cutout에서)침수형 퓨즈 참조. (2)(고압 개폐기에서)특정한 압력과 시간 조건하에서 물속에 넣었을 때, 성공적으로 동작할 수 있도록 만들어진 퓨즈."
4260,수지상선로,전원에서부터 가지식으로 뻗어나가 어떤 지점에서든지 다른 선로와 폐로되지 않은 선로를 수지상선로라 한다.
